indonesian_word
minggu
tahun
hari
besok
kemarin
kalender
detik
jam
menit
pukul
bisa
memakai
mengerjakan
jalan
datang
menertawakan
membuat
melihat
jauh
kecil
baik
cantik
jelek
sulit
mudah
buruk
dekat
senang
halo
selamat
apa
terima
tidak
enak
saya
selamat
iya
senin
selasa
rabu
kamis
jumat
sabtu
Minggu
Mei
Januari
Februari
Maret
April
Juni
Juli
Agustus
September
Oktober
November
Desember
nol
satu
dua
tiga
empat
lima
enam
tujuh
delapan
sembilan
sepuluh
kopi
bir
teh
anggur
air
daging
ayam
ikan
kaki
kepala
lengan
tangan
jari
tubuh
perut
punggung
dada
perawat
karyawan
polisi
koki
insinyur
dokter
manajer
guru
programer
penjual
<img
binatang
anjing
kucing
ikan
burung
sapi
babi
tikus
kuda
sayap
transportasi
kereta
pesawat
mobil
truk
sepeda
bis
mesin
perahu
kapal
ban
bensin
minyak
tiket
lokasi
kota
rumah
apartemen
jalan
bandara
stasiun
jembatan
hotel
restoran
kebun
pengadilan
sekolah
kantor
kampung
universitas
taman
toko
perpustakaan
gereja
pasar
negara
bangunan
antariksa
pakaian
topi
jas
rok
kemeja
celana
sepatu
kantong
jaket
noda
Warna
Merah
Hijau
Biru
Kuning
Jingga
Hitam
Putih
Abu
Coklat
Teater
Ibu
Ayah
Orang
Rakyat
Bayi
Pria
Wanita
Kakak
Keluarga
Kakek
Nenek
Suami
Istri
Raja
Ratu
Presiden
Tetangga
Laki-laki
Perempuan
Anak
Dewasa
Manusia
Teman
Korban
Pemain
Penggemar
Pekerjaan
Guru
Mahasiswa
Pelajar
Pengacara
Dokter
Pasien
Pelayan
Sekretaris
Pendeta
Polisi
Tentara
Prajurit
Seniman
Penulis
Pemimpin
Wartawan
Aktor
Masyarakat
Agama
Surga
Neraka
Kematian
Obat
Uang
Pernikahan
Perkawinan
Ras
Seks
Jenis
Pembunuhan
Penjara
Teknologi
Energi
Perang
Damai
Pemilihan
Majalah
Koran
Racun
Senjata
Olahraga
Perlombaan
Berolahraga
Bola
Permainan
Harga
Kontrak
Narkoba
Tanda
Ilmu
Tuhan
Lagu
Musik
Film
Seni
Minuman
Kopi
Teh
Bir
Air
Susu
Makanan
Telur
Keju
Roti
Sup
Kue
Ayam
Daging
Kambing
Apel
Pisang
jeruk
Limun
Jagung
Nasi
Biji
Pisau
Sendok
Garpu
Piring
Cangkir
Makan
Gula
Garam
Lada
Botol
Meja
Kursi
Tempat
Mimpi
Jendela
Pintu
Kamar
Dapur
Pensil
Pulpen
Sabun
Buku
Halaman
Kunci
Cat
Surat
Catatan
Dinding
Kertas
Lantai
Atap
Langit-langit
Kolam
Gembok
Telepon
Jarum
Tas
Kotak
Hadiah
Kartu
Cincin
Elektronik
Jam
Lampu
Kipas
Jaringan
Komputer
Program
Laptop
Radio
Televisi
Badan
Kepala
Leher
Wajah
Jenggot
Rambut
Mata
Mulut
Bibir
Hidung
Gigi
Telinga
Lidah
Punggung
Jempol
Jari
Kaki
Tangan
Lengan
Pundak
Jantung
Darah
Otak
Lutut
Keringat
Penyakit
Tulang
Suara
Kulit
Kepanasan
Bukit
Pulau
Es
Api
Ombak
Pantai
Pasir
Daun
Rumput
Bintang
Danau
Akar
Lembah
Bunga
Tanah
Angin
Tanaman
Langit
Hutan
Bumi
Dunia
Bulan
Matahari
Pohon
Salju
Hujan
Gunung
Sungai
Samudra
Alam
Bahan
Kaca
Logam
Kayu
Batu
Permata
Tahan
Emas
Tembaga
Perak
Ukuran
Setengah
Lingkaran
Persegi
Temperatur
Matematika
Tanggal
Berat
Tikungan
Sudut
Kata
Peta
Titik
Huruf
Cahaya
Bunyi
Sakit
Luka
Lubang
Gambar
Bentuk
Corak
Arah
Di
Naik
Turun
Kiri
Kanan
Terus
Utara
Selatan
Timur
Barat
Musim
Nomor
Hari
Waktu
Tahun
Menit
Bekerja
Bermain
Berjalan
Berlari
Menyetir
Terbang
Berenang
Pergi
Berhenti
Mengikuti
Berpikir
Berbicara
Minum
Membunuh
Meninggal
Tersenyum
Tertawa
Menangis
Membeli
Membayar
Menjual
Menembak
Belajar
Melompat
Berbau
Mendengar
Mencicipi
Menyentuh
Melihat
Menonton
Mencium
Membakar
Meleleh
suka
juga&nbsp
sampai
bapak
ibu
makan
dan
tapi
dengan
sedikit
banyak
sebagai
deripada
dari
untuk
ada
karena
seperti
di
barangkali/mungkin&nbsp
tentang
yang
siapa
itu
ini
nya
maaf
apa
bagaimana
setiap
Ngobrol
Harus
ide
harap
Semoga
Akhir
permerintah
Wawancara
Pakai
Pintar
biasanya&nbsp
sekitar
harus
tugas
memahami
Satu
Pilihan
Pelajaran
Tentu
punya
dapat&nbsp
Jemput&nbsp
Akan
sudah
lumayan
kosong
Kembali&nbsp
hanya
Sebelas
seratus
seribu
sejuta
semiliar
lebih
kurang
Hampir
Bernyanyi
kira-kira
hampir
Sibuk
Ambil
Tentang
Selalu
Menari
Beberapa
mulai
berapa
murah
Silakan
mahal
Judul
tanpa
pesan
Berapa
warung
kelapa
Buah-buahan
Barang-barang
Sandal
Ini
Kalau
Beri
Laba-laba
Ular
sesudah
selesai
Ujian
Cepat
ingat
adalah
pulang
pacar
berumur
Setelah
Kemudian
Melakukan
lahir
Ingin
sebelum
Kebalikan
Khusus
Langsung
Beruntung
Sepi
Paling
tertarik
terkejut
pribadi
supir
pertama
Iri
Tunggu
Bisa
Rumit
Nakal
Sekarang-sekarang
coba
pirang
Kurus
Gemuk
Tinggi
Pendek
Tampan
Berotot
Menyenangkan
Tadi
Begadang
Segar
mengurangi
kunjungi
tepi
candi
tari
daérah
bernostalgia
pakét
wisata
termasuk
tepat
diskusikan
tutup
menghubungi
sesuatu
jelas
belum
Pada
Bertanya
Perlu
Masuk
Mengunjungi
Ngomong-ngomong
boleh
ke
kapan
Lembap
Menjawab
Sehingga
Sejuk
Hal-hal
Kesialan
buka
Undangan
keduanya
betah
Sayang
Sampaikan
Takut
terlambat
mengedit
Asik
Bersihkan
Menurut
Kumpulkan
Perasaan
Kecepatan
Pengalaman
merasa
kehabisan
sabar
menunda
antrian
senang
sepertinya
sedih
marah
gembira
kecewa
gugup
mencurigakan
pemalu
kesepian
miskin
cerah
mendung
Lumpur
Perusahaan
Lingkungan
ganti
Lebih
Seperempat
duluan
bete
Mengeluh
pas
hancur
merusak
lempar
alat
bersih
berpendidikan
aneh
lancar
sudah
Kelebihan
kekurangan
capek
ngantuk
ngerti
gampang
kayaknya
Menikmati
Hasil
Tinta
Banyak
Kisah
Sepak
Sederhana
Percakapan
ramai
Kesempatan
patung
Persiapan
Pendekatan
Cukup
Ahli
menjadi
tersangka
pertumbuhan
Jangankan
mengatasi
tambahan
cuti
digunakan
Namun
tersedia
bagi
peran
ter-
ter-
Sialan
Brengsek
Zaman
Keamanan
Lulus
Minat
Kesehatan
Gaya
Hiburan
Lurus
Sehat
aman
Lemak
Khawatir
Bertempur
Naikkan
Sepanjang
Status
Pilpres
Hak
Mendapat
didenda
Sumber
Pahit
Asam
Manis
Asin
Hambar
Pejalan
Pemusik
Pembantu
Penyanyi
Pembaca
barat
pusat
budaya
dikenal
pengelompokan
memprediksi
mencapai
menarik
mencari
resmi
dominan
sementara
etnis
Semua
mencerminkan
tradisi
asing
mempengaruhi
Selain
variasi
prioritaskan
mendesain
mengakomodasi
kendaraan
Cabai
Nyaman
Gerakan
Kemampuan
Langkah-langkah
Rutinitas
Paskah
rayakan
Kelompok
Tebal
Puisi
Panjang
Lebar
Menakutkan
Berbahaya
Buaya
Nyamuk
Balap
pidato
Acara
pembalap
Gaji
Kelelawar
Tingkat
Untungnya
jatuh
Memenangkan
berikut/berikutnya
Tertidur
Terpaksa
Terhapus
Tersebar
Terbangun
Terjamin
Terlempar
Terpesona
Terbatas
gelincir
