words
네
선생님
앤디
씨
숙제했어요
했어요
아니요
가
내일
학교에
와요
나
안
안녕히
히
뭐
이것
이걷
이거
리에
그게
뭐예요
은
제
선물이에요
이
가게에는
물건이
아주
많습니다
그
가방은
얼마예요
저
는
앤디입니다
미국에서
왔습니다
것
걷
거
사람
사
람
저는
미국
아니에요
영국
사람이에요
맛
맏
찌개
좀
짜네요
잘
올가
씨는
매운
음식을
먹어요
더
이것보다
저것이
예쁜
같아요
가다
보다
먹다
먹따
하다
사다
마시다
자다
놀다
놀
다
쉬다
쉬
일
지금
회사에서
무슨
을
합니까
삼
오
육
칠
팔
구
십
백
천
영
어디
학교가
에
있어요
부터
한
시간
동안
쉬겠습니다
있다
읻따
오다
가요
왕위
한국
를
부릅니다
언제
언
한국에
오셨어요
오늘
며칠이에요
어제
생일이었어요
날씨는
어떨까요
아까
씨에게
전화가
일어나다
하나
둘
셋
섿
넷
넫
다섯
다섣
여섯
여섣
일곱
여덟
여덜
아홉
열
준이치
씨의
이마가
뜨거워요
심해요
스물
서른
마흔
쉰
예순
일흔
여든
아흔
오늘은
별로
추워요
공부
한국어
어때요
어렵지만
재미있어요
기억
갑자기
친구의
이름이
나지
않았어요
청소
집
안을
여기저기
깨끗하게
하세요
요리
할
줄
몰라요
이사
친구는
서울로
왔어요
노래
잘하는
사람이
부러워요
노력
동의
동이
인정
후회
후
회
훼
운동
운
동
우리
가족은
아침마다
합니다
사랑
말
요시코
수업
시간에
너무
많이
해서
시끄러워요
생각
안나
도
깊고
마음도
넓어요
누구
저기
의자에
앉아
있는
분이
예요
누구요
아
폴
씨예요
호주
그거
여보세요
거기
김
댁이지요
왜
사람은
얼마
아주머니
원이에요
얼마나
시청까지
가려면
시간이
걸려요
찾다
찯따
내다
내
자주
피터
감기에
걸리는
크다
무겁다
무겁따
저거
여기
아저씨
면동이에요
강이
보이네요
아침
일찍
일어나야
돼요
저녁
퇴근하고
에는
무엇을
친구
사귀고
싶어요
있을
때마다
책을
읽습니다
재미
친구들과
때
가장
있습니다
보고
보
고
사장
박
과장
일인가
회의
결과를
드리러
영화
이번
주말에
보러
갈까요
때리다
웃다
욷
따
보이다
적다
적
잡다
잡따
팔다
쓰다
기다리다
멋있다
머싣따
머딛따
학교
끝나고
바로
사무실
무실
제가
일하는
종로에
국
버리다
아직
자고
알다
알
모르다
모
르다
혼자
가족하고
같이
사세요
살아요
정말
정
말이
이에요
청바지
바지
다닐
때는
즐겨
입어요
티셔츠
치마
요즘에는
짧은
유행이에요
입다
입따
만나다
일주일
일쭈일
휴가를
갈
거예요
몇
멷
여기에서
학교까지
분
그리고
그래서
맛있다
마싣따
마딛따
음식
음
식
어느
나라
제일
좋아해요
돈
요즘은
선물
대신
주는
사람도
많아요
마
니
백화점에
가서
물건을
샀어요
빵
아침에
보통
숫자
숟
짜
수
좋아하는
개
고르세요
월요일
워료일
화요일
수요일
목요일
금요일
토요일
일요일
가치
영화를
가는데
갑시다
그런데
그렇지만
그러치만
매일
매
일기를
씁니다
전혀
혀
고기는
시험
문제가
어려워서
힘들었어요
멀쩡하다
졸리다
졸
리다
애인
애
인
물다
맞다
맏따
차다
풍기다
전
세
시
입니다
받다
받따
얻다
얻
동생
운동을
잘하는데
못해요
남동생
명
여동생이
여동생
대학생이고
남동생은
고등학생이에요
혼나다
나다
끝나면
반
중국
오후
만납시다
지하철
길이
복잡한
시간에는
타세요
집에서
분쯤
끝나다
끈나다
통
때와
다른
옷을
입고
약속
장소에
나갔어요
좋아해서
마리나
길러요
연필
공책에
로
글씨를
썼어요
돌
여기는
많아서
걷기
힘드네요
그렇지요
돌을
구경하러
오는
사람들도
공
축구
농구
배구는
모두
가지고
하는
